会う	友達に会う	친구를 만나다
青い	青い空	푸른 하늘
赤い	赤い花	빨간 꽃
明るい	明るい部屋	밝은 방
秋	秋が好きです	가을을 좋아합니다
開く	ドアが開く	문이 열리다
開ける	窓を開ける	창문을 열다
あげる	プレゼントをあげる	선물을 주다
朝	朝の散歩	아침 산책
朝ご飯	朝ご飯を食べる	아침밥을 먹다
明後日	明後日会いましょう	모레 만나요
足	足が痛い	다리가 아프다
明日	明日は雨です	내일은 비입니다
あそこ	あそこに本があります	저기에 책이 있습니다
遊ぶ	公園で遊ぶ	공원에서 놀다
暖かい	暖かい日	따뜻한 날
頭	頭が痛い	머리가 아프다
新しい	新しい車	새로운 차
あちら	あちらを見てください	저쪽을 보세요
暑い	今日は暑いです	오늘은 덥습니다
熱い	熱いお茶	뜨거운 차
厚い	厚い本	두꺼운 책
あっち	あっちを見て	저기를 봐
後	後で会いましょう	나중에 만나요
貴方	あなたは誰ですか	당신은 누구입니까
兄	兄が来ました	형이 왔습니다
姉	姉と話す	언니와 이야기하다
あの	あの本	그 책
アパート	アパートに住む	아파트에 살다
危ない	危ない道	위험한 길
浴びる	シャワーを浴びる	샤워를 하다
甘い	甘いケーキ	달콤한 케이크
あまり	あまり好きじゃない	별로 좋아하지 않다
雨	雨が降る	비가 오다
飴	飴を食べる	사탕을 먹다
洗う	手を洗う	손을 씻다
ある	本がある	책이 있다
歩く	公園を歩く	공원을 걷다
あれ	あれは何ですか	그것은 무엇입니까
いい	いい天気	좋은 날씨
いいえ	いいえ、違います	아니오, 틀렸습니다
言う	ありがとうと言う	고맙다고 말하다
家	家に帰る	집에 돌아가다
いかが	いかがですか	어떠십니까
行く	学校に行く	학교에 가다
いくつ	いくつありますか	몇 개 있습니까
いくら	いくらですか	얼마입니까
池	池の魚	연못의 물고기
医者	医者に診てもらう	의사에게 진찰받다
椅子	椅子に座る	의자에 앉다
忙しい	忙しい日	바쁜 날
痛い	頭が痛い	머리가 아프다
一日	一日目	첫날
いちばん	いちばん好き	가장 좋아하는
いつ	いつ来ますか	언제 옵니까
五日	五日目	5일째
一緒	一緒に行く	함께 가다
五つ	五つのりんご	다섯 개의 사과
いつも	いつもありがとう	항상 고맙습니다
犬	犬を飼う	개를 기르다
今	今何時ですか	지금 몇 시입니까
妹	妹がいる	여동생이 있다
いや	いやな天気	싫은 날씨
入口	入口はこちら	입구는 이쪽입니다
居る	猫が居る	고양이가 있다
要る	お金が要る	돈이 필요하다
入れる	箱に入れる	상자에 넣다
色	色を選ぶ	색을 선택하다
いろいろ	いろいろな本	여러가지 책
上	机の上	책상 위
後ろ	後ろを見る	뒤를 보다
歌	歌を歌う	노래를 부르다
歌う	歌を歌う	노래를 부르다
生まれる	赤ちゃんが生まれる	아기가 태어나다
海	海に行く	바다에 가다
売る	本を売る	책을 팔다
うるさい	うるさい音	시끄러운 소리
上着	上着を着る	겉옷을 입다
絵	絵を描く	그림을 그리다
映画	映画を見る	영화를 보다
映画館	映画館に行く	영화관에 가다
英語	英語を勉強する	영어를 공부하다
ええ	ええ、そうです	예, 그렇습니다
駅	駅に行く	역에 가다
果物	果物を食べる	과일을 먹다
口	口を開ける	입을 열다
靴	靴を履く	신발을 신다
靴下	靴下を履く	양말을 신다
曇り	今日は曇りです	오늘은 흐립니다
来る	学校に来る	학교에 오다
車	車で行く	차로 가다
黒い	黒い服	검은 옷
今朝	今朝早く起きた	오늘 아침 일찍 일어났다
消す	電気を消す	불을 끄다
結婚	結婚したい	결혼하고 싶다
月曜日	月曜日に会う	월요일에 만나다
玄関	玄関で靴を脱ぐ	현관에서 신발을 벗다
元気	元気です	건강합니다
公園	公園で遊ぶ	공원에서 놀다
紅茶	紅茶を飲む	홍차를 마시다
声	声を聞く	목소리를 듣다
コート	コートを着る	코트를 입다
コーヒー	コーヒーを飲む	커피를 마시다
ここ	ここに来て	여기로 와
午後	午後三時	오후 3시
九つ	九つのりんご	아홉 개의 사과
午前	午前十時	오전 10시
答える	質問に答える	질문에 대답하다
こちら	こちらへどうぞ	이쪽으로 오세요
コップ	コップに水を入れる	컵에 물을 넣다
今年	今年の春	올해 봄
言葉	言葉を覚える	말을 기억하다
子供	子供が遊ぶ	아이가 놀다
ご飯	ご飯を食べる	밥을 먹다
困る	お金がなくて困っています	돈이 없어서 곤란하다
これ	これは何ですか	이것은 무엇입니까
今月	今月の予定	이번 달 예정
今週	今週末	이번 주말
今晩	今晩会いましょう	오늘 밤 만나요
財布	財布を無くす	지갑을 잃어버리다
魚	魚を釣る	물고기를 낚다
前	前を見る	앞을 보다
雑誌	雑誌を読む	잡지를 읽다
砂糖	砂糖を入れる	설탕을 넣다
寒い	寒い日	추운 날
来年	来年の計画	다음 해 계획
三つ	三つのりんご	세 개의 사과
四つ	四つのりんご	네 개의 사과
塩	塩をかける	소금을 뿌리다
しかし	しかし難しい	그러나 어렵다
時間	時間がない	시간이 없다
仕事	仕事に行く	일하러 가다
辞書	辞書を引く	사전을 찾다
静か	静かな場所	조용한 장소
下	机の下	책상 아래
自転車	自転車に乗る	자전거를 타다
自動車	自動車を運転する	자동차를 운전하다
死ぬ	花が死ぬ	꽃이 죽다
自分	自分でする	자신이 하다
閉まる	ドアが閉まる	문이 닫히다
閉める	窓を閉める	창문을 닫다
それでは	それでは行きましょう	그럼 가요
写真	写真を撮る	사진을 찍다
シャツ	シャツを着る	셔츠를 입다
シャワー	シャワーを浴びる	샤워를 하다
十	十個のりんご	열 개의 사과
上手	上手に話す	잘 말하다
醤油	醤油をかける	간장을 뿌리다
食堂	食堂で食べる	식당에서 먹다
知る	答えを知る	답을 알다
白い	白い雲	하얀 구름
新聞	新聞を読む	신문을 읽다
水曜日	水曜日に会う	수요일에 만나다
吸う	タバコを吸う	담배를 피우다
スカート	スカートを履く	스커트를 입다
好き	好きな食べ物	좋아하는 음식
少ない	少ない人	적은 사람
すぐ	すぐ来る	즉시 온다
少し	少し待つ	조금 기다리다
涼しい	涼しい風	시원한 바람
スポーツ	スポーツをする	스포츠를 하다
ズボン	ズボンを履く	바지를 입다
住む	東京に住む	도쿄에 살다
する	勉強する	공부하다
座る	椅子に座る	의자에 앉다
背	背が高い	키가 크다
セーター	セーターを着る	스웨터를 입다
せっけん	せっけんで手を洗う	비누로 손을 씻다
狭い	狭い道	좁은 길
ゼロ	ゼロから始める	제로에서 시작하다
千	千円	천 엔
先月	先月の予定	지난 달 예정
先週	先週末	지난 주말
先生	先生に聞く	선생님에게 물어보다
そうして	そうして始まった	그렇게 해서 시작되었다
そこ	そこに行く	거기에 가다
そちら	そちらへどうぞ	그쪽으로 오세요
そっち	そっちを見る	그쪽을 보다
外	外に出る	밖으로 나가다
その	その本	그 책
そば	そばに座る	옆에 앉다
空	空を見上げる	하늘을 올려다보다
それ	それは何ですか	그것은 무엇입니까
それから	勉強しました。それから、寝ました。	공부했습니다. 그리고 나서 잤습니다.
大学	大学に行く	대학에 가다
大丈夫	大丈夫です	괜찮습니다
大好き	大好きな人	매우 좋아하는 사람
台所	台所で料理する	부엌에서 요리하다
たいへん	たいへん暑い	몹시 덥다
高い	高い山	높은 산
たくさん	たくさんの本	많은 책
タクシー	タクシーに乗る	택시를 타다
出す	手を出す	손을 내밀다
立つ	立って話す	서서 말하다
たて	たてに並ぶ	세로로 줄서다
楽しい	楽しい時間	재미있는 시간
たばこ	たばこを吸う	담배를 피우다
たぶん	たぶん来る	아마 올 것이다
食べ物	美味しい食べ物	맛있는 음식
食べる	ご飯を食べる	밥을 먹다
卵	卵を食べる	계란을 먹다
誰	あの人は誰ですか	저 사람은 누구입니까?
だれか	だれか来た	누군가 왔다
誕生日	誕生日を祝う	생일을 축하하다
だんだん	だんだん暑くなる	차차 더워진다
小さい	小さい家	작은 집
小さな	小さな花	작은 꽃
近い	近い場所	가까운 장소
違う	違う道	다른 길
近く	近くの店	근처 가게
地下鉄	地下鉄に乗る	지하철을 타다
地図	地図を見る	지도를 보다
茶色	茶色の服	갈색 옷
ちょうど	ちょうどいい	딱 좋다
ちょっと	ちょっと待つ	조금 기다리다
使う	ペンを使う	펜을 쓰다
疲れる	疲れた	피곤하다
次	次に行く	다음에 가다
着く	駅に着く	역에 도착하다
机	机で勉強する	책상에서 공부하다
作る	料理を作る	요리를 만들다
つける	電気をつける	불을 켜다
つまらない	つまらない映画	시시한 영화
冷たい	冷たい水	차가운 물
強い	強い風	강한 바람
手	手を洗う	손을 씻다
テーブル	テーブルに置く	테이블에 놓다
出かける	買い物に出かける	쇼핑하러 나가다
手紙	手紙を書く	편지를 쓰다
できる	日本語ができる	일본어를 할 수 있다
出口	出口から出る	출구에서 나가다
テスト	テストを受ける	테스트를 받다
では	では行きましょう	그러면 가요
デパート	デパートで買い物する	백화점에서 쇼핑하다
でも	でも難しい	그러나 어렵다
出る	家を出る	집을 나가다
テレビ	テレビを見る	텔레비전을 보다
天気	天気がいい	날씨가 좋다
電気	電気をつける	불을 켜다
電車	電車に乗る	전철을 타다
電話	電話をかける	전화를 걸다
戸	戸を開ける	문을 열다
ドア	ドアを閉める	문을 닫다
トイレ	トイレに行く	화장실에 가다
どう	どうしますか	어떻게 하시겠습니까
どうして	どうして 学校へ 行きますか。	왜 학교에 갑니까?
どうぞ	どうぞよろしく	잘 부탁드립니다
どうも	どうもありがとう	정말 감사합니다
遠い	遠い国	먼 나라
十日	十日目	10일째
時々	ときどき コーヒーを 飲みます。	가끔 커피를 마신다.
時計	時計を見る	시계를 보다
どこ	どこに行く	어디에 가다
年	今年	올해
図書館	図書館で勉強する	도서관에서 공부하다
どちら	どちらがいい	어느 쪽이 좋다
どっち	どっちにする	어느 쪽으로 하다
とても	とても暑い	매우 덥다
どなた	どなたですか	누구십니까
隣	隣の家	옆집
どの	どの本	어느 책
飛ぶ	鳥が飛ぶ	새가 날다
止まる	車が止まる	차가 멈추다
友達	友達と遊ぶ	친구와 놀다
土曜日	土曜日に会う	토요일에 만나다
鳥	鳥が鳴く	새가 운다
鶏肉	鶏肉を食べる	닭고기를 먹다
取る	本を取る	책을 집다
どれ	どれがいい	어느 것이 좋다
中	箱の中	상자 안
長い	長い道	긴 길
なぜ	なぜ来た	왜 왔는가
夏	夏が来る	여름이 온다
夏休み	夏休みを過ごす	여름 방학을 보내다
など	りんごなど	사과 등
七つ	七つのりんご	일곱 개의 사과
七日	七日目	7일째
名前	名前を書く	이름을 쓰다
習う	日本語を習う	일본어를 배우다
並ぶ	列に並ぶ	줄에 서다
並べる	本を並べる	책을 나란히 놓다
なる	医者になる	의사가 되다
なん	何ですか	무엇입니까
二	二つのりんご	두 개의 사과
肉	肉を食べる	고기를 먹다
西	西へ行く	서쪽으로 가다
日曜日	日曜日に休む	일요일에 쉬다
荷物	荷物を運ぶ	짐을 옮기다
ニュース	ニュースを見る	뉴스를 보다
庭	庭で遊ぶ	정원에서 놀다
脱ぐ	靴を脱ぐ	신발을 벗다
ネクタイ	ネクタイを締める	넥타이를 매다
猫	猫を飼う	고양이를 기르다
寝る	早く寝る	일찍 자다
ノート	ノートに書く	노트에 쓰다
登る	山に登る	산에 오르다
飲み物	冷たい飲み物	차가운 음료
飲む	水を飲む	물을 마시다
乗る	電車に乗る	전철을 타다
歯	歯を磨く	이를 닦다
パーティー	パーティーに行く	파티에 가다
はい	はい、そうです	예, 그렇습니다
入る	部屋に入る	방에 들어가다
葉書	葉書を書く	엽서를 쓰다
はく	ズボンをはく	바지를 입다
箱	箱に入れる	상자에 넣다
橋	橋を渡る	다리를 건너다
はし	はしで食べる	젓가락으로 먹다
始まる	授業が始まる	수업이 시작된다
初め	初めから	처음부터
はじめて	はじめて会う	처음 만나다
走る	公園を走る	공원을 달리다
バス	バスに乗る	버스를 타다
バター	バターを塗る	버터를 바르다
二十歳	二十歳になる	스무 살이 되다
働く	会社で働く	회사에서 일하다
八	八つのりんご	여덟 개의 사과
二十日	二十日目	20일째
花	花が咲く	꽃이 피다
鼻	鼻をかむ	코를 풀다
話	話をする	이야기를 하다
話す	日本語を話す	일본어를 말하다
早い	早い時間	이른 시간
速い	速い車	빠른 차
春	春が来る	봄이 온다
貼る	切手を貼る	우표를 붙이다
晴れる	晴れる日	맑은 날
半	半分	반
晩	晩ご飯	저녁 식사
パン	パンを食べる	빵을 먹다
ハンカチ	ハンカチを使う	손수건을 사용하다
番号	番号を書く	번호를 쓰다
晩御飯	晩御飯を食べる	저녁 식사를 먹다
半分	ケーキを半分食べる	케이크를 반 먹다
東	東へ行く	동쪽으로 가다
引く	ドアを引く	문을 당기다
弾く	ピアノを弾く	피아노를 연주하다
低い	低い山	낮은 산
飛行機	飛行機に乗る	비행기를 타다
左	左へ曲がる	왼쪽으로 돌다
人	人が来る	사람이 온다
一つ	一つのりんご	하나의 사과
一月	一月後	한 달 후
一人	一人で行く	혼자 가다
暇	暇な時	한가한 때
百	百円	백 엔
病院	病院に行く	병원에 가다
病気	病気になる	병이 나다
昼	昼に会う	낮에 만나다
昼御飯	昼御飯を食べる	점심을 먹다
広い	広い部屋	넓은 방
封筒	封筒に入れる	봉투에 넣다
プール	プールで泳ぐ	수영장에서 수영하다
吹く	風が吹く	바람이 분다
服	服を着る	옷을 입다
二つ	二つのりんご	두 개의 사과
豚肉	豚肉を食べる	돼지고기를 먹다
二人	二人で行く	두 사람이 가다
二日	二日目	이틀째
太い	太い線	굵은 선
冬	冬が来る	겨울이 온다
降る	雨が降る	비가 내리다
古い	古い本	오래된 책
ふろ	ふろに入る	욕조에 들어가다
ページ	ページをめくる	페이지를 넘기다
下手	下手な字	서툰 글씨
ベッド	ベッドで寝る	침대에서 자다
ペット	ペットを飼う	애완동물을 기르다
部屋	部屋に入る	방에 들어가다
ペン	ペンで書く	펜으로 쓰다
勉強	勉強をする	공부를 하다
便利	このアプリは便利だ	이 앱은 편리하다
帽子	帽子をかぶる	모자를 쓰다
ボールペン	ボールペンで書く	볼펜으로 쓰다
ほか	ほかの人	다른 사람
ポケット	ポケットに入れる	주머니에 넣다
欲しい	本が欲しい	책을 원하다
ポスト	ポストに投函する	우편함에 넣다
細い	細い線	얇은 선
ボタン	ボタンを押す	버튼을 누르다
ホテル	ホテルに泊まる	호텔에 묵다
本	本を読む	책을 읽다
本棚	本棚に置く	책장에 놓다
本当	本当ですか	정말입니까
毎朝	毎朝起きる	매일 아침 일어나다
毎月	毎月会う	매월 만나다
毎週	毎週来る	매주 온다
毎日	毎日勉強する	매일 공부하다
毎年	毎年旅行する	매년 여행하다
毎晩	毎晩読む	매일 밤 읽다
曲がる	右に曲がる	오른쪽으로 돌다
まずい	まずい料理	맛없는 요리
また	また会いましょう	또 만나요
まだ	まだ来ない	아직 오지 않다
町	町を歩く	마을을 걷다
待つ	バスを待つ	버스를 기다리다
まっすぐ	まっすぐ行く	똑바로 가다
窓	窓を開ける	창문을 열다
丸い	丸い形	둥근 모양
万	万円	만 엔
磨く	歯を磨く	이를 닦다
右	右へ行く	오른쪽으로 가다
短い	短い時間	짧은 시간
水	水を飲む	물을 마시다
